"date";"client_ID";"employee_ID";"status_ID";"total"
"04_06_2024";"1";"1";"2";"1100"
"04_06_2024";"2";"2";"1";"8543"
"04_06_2024";"3";"3";"7";"9940"
"04_06_2024";"4";"4";"3";"6219"
"04_06_2024";"5";"5";"6";"6545"
"04_06_2024";"6";"6";"4";"8077"
"04_06_2024";"7";"7";"10";"2306"
"04_06_2024";"8";"8";"4";"1219"
"04_06_2024";"9";"9";"5";"2647"
"04_06_2024";"10";"10";"7";"2904"
"04_06_2024";"11";"11";"5";"6885"
"04_06_2024";"12";"12";"3";"6199"
"04_06_2024";"13";"13";"3";"3723"
"04_06_2024";"14";"14";"9";"714"
"04_06_2024";"15";"15";"3";"3749"
"04_06_2024";"16";"16";"1";"1695"
"04_06_2024";"17";"17";"2";"1173"
"04_06_2024";"18";"18";"5";"642"
"04_06_2024";"19";"19";"3";"9173"
"04_06_2024";"20";"20";"1";"3383"
"04_06_2024";"21";"21";"10";"4807"
"04_06_2024";"22";"22";"1";"5862"
"04_06_2024";"23";"23";"5";"673"
"04_06_2024";"24";"24";"10";"7817"
"04_06_2024";"25";"25";"0";"8960"
"04_06_2024";"26";"26";"2";"5090"
"04_06_2024";"27";"27";"6";"3634"
"04_06_2024";"28";"28";"7";"1203"
"04_06_2024";"29";"29";"5";"3645"
"04_06_2024";"30";"30";"8";"456"
"04_06_2024";"31";"31";"6";"5996"
"04_06_2024";"32";"32";"0";"15"
"04_06_2024";"33";"33";"9";"5368"
"04_06_2024";"34";"34";"1";"2740"
"04_06_2024";"35";"35";"1";"2363"
"04_06_2024";"36";"36";"1";"8914"
"04_06_2024";"37";"37";"6";"5179"
"04_06_2024";"38";"38";"9";"9282"
"04_06_2024";"39";"39";"4";"5256"
"04_06_2024";"40";"40";"0";"2572"
"04_06_2024";"41";"41";"4";"3200"
"04_06_2024";"42";"42";"8";"4821"
"04_06_2024";"43";"43";"3";"7849"
"04_06_2024";"44";"44";"0";"9776"
"04_06_2024";"45";"45";"7";"7206"
"04_06_2024";"46";"46";"2";"7504"
"04_06_2024";"47";"47";"0";"675"
"04_06_2024";"48";"48";"2";"1625"
"04_06_2024";"49";"49";"4";"7631"
"04_06_2024";"50";"50";"10";"4492"
"04_06_2024";"51";"51";"3";"3268"
"04_06_2024";"52";"52";"9";"2217"
"04_06_2024";"53";"53";"3";"7924"
"04_06_2024";"54";"54";"7";"6259"
"04_06_2024";"55";"55";"4";"4815"
"04_06_2024";"56";"56";"10";"7535"
"04_06_2024";"57";"57";"8";"4389"
"04_06_2024";"58";"58";"5";"5207"
"04_06_2024";"59";"59";"5";"5930"
"04_06_2024";"60";"60";"9";"4686"
"04_06_2024";"61";"61";"6";"7202"
"04_06_2024";"62";"62";"7";"7450"
"04_06_2024";"63";"63";"6";"6469"
"04_06_2024";"64";"64";"2";"7484"
"04_06_2024";"65";"65";"6";"4319"
"04_06_2024";"66";"66";"8";"699"
"04_06_2024";"67";"67";"0";"6427"
"04_06_2024";"68";"68";"9";"2378"
"04_06_2024";"69";"69";"6";"1439"
"04_06_2024";"70";"70";"10";"422"
"04_06_2024";"71";"71";"3";"235"
"04_06_2024";"72";"72";"7";"2875"
"04_06_2024";"73";"73";"6";"2281"
"04_06_2024";"74";"74";"4";"7246"
"04_06_2024";"75";"75";"1";"2973"
"04_06_2024";"76";"76";"9";"6769"
"04_06_2024";"77";"77";"2";"456"
"04_06_2024";"78";"78";"6";"8051"
"04_06_2024";"79";"79";"8";"7747"
"04_06_2024";"80";"80";"10";"7642"
"04_06_2024";"81";"81";"4";"5965"
"04_06_2024";"82";"82";"4";"962"
"04_06_2024";"83";"83";"5";"729"
"04_06_2024";"84";"84";"0";"8762"
"04_06_2024";"85";"85";"2";"440"
"04_06_2024";"86";"86";"2";"661"
"04_06_2024";"87";"87";"8";"5985"
"04_06_2024";"88";"88";"6";"8331"
"04_06_2024";"89";"89";"5";"1385"
"04_06_2024";"90";"90";"10";"8722"
"04_06_2024";"91";"91";"5";"6766"
"04_06_2024";"92";"92";"10";"4633"
"04_06_2024";"93";"93";"6";"1835"
"04_06_2024";"94";"94";"8";"7099"
"04_06_2024";"95";"95";"3";"6857"
"04_06_2024";"96";"96";"9";"5954"
"04_06_2024";"97";"97";"2";"9854"
"04_06_2024";"98";"98";"2";"3219"
"04_06_2024";"99";"99";"1";"2473"
"04_06_2024";"100";"100";"2";"6519"
"04_06_2024";"101";"101";"8";"8461"
"04_06_2024";"102";"102";"0";"219"
"04_06_2024";"103";"103";"2";"4553"
"04_06_2024";"104";"104";"9";"1945"
"04_06_2024";"105";"105";"3";"8037"
"04_06_2024";"106";"106";"0";"683"
"04_06_2024";"107";"107";"0";"3548"
"04_06_2024";"108";"108";"7";"2036"
"04_06_2024";"109";"109";"2";"5554"
"04_06_2024";"110";"110";"4";"2965"
"04_06_2024";"111";"111";"9";"3349"
"04_06_2024";"112";"112";"5";"5344"
"04_06_2024";"113";"113";"2";"9305"
"04_06_2024";"114";"114";"7";"9478"
"04_06_2024";"115";"115";"8";"4277"
"04_06_2024";"116";"116";"8";"6961"
"04_06_2024";"117";"117";"3";"2945"
"04_06_2024";"118";"118";"2";"9583"
"04_06_2024";"119";"119";"2";"6946"
"04_06_2024";"120";"120";"5";"760"
"04_06_2024";"121";"121";"10";"6263"
"04_06_2024";"122";"122";"5";"2544"
"04_06_2024";"123";"123";"6";"7413"
"04_06_2024";"124";"124";"8";"175"
"04_06_2024";"125";"125";"7";"1273"
"04_06_2024";"126";"126";"0";"4301"
"04_06_2024";"127";"127";"10";"1076"
"04_06_2024";"128";"128";"3";"9578"
"04_06_2024";"129";"129";"8";"2140"
"04_06_2024";"130";"130";"10";"6619"
"04_06_2024";"131";"131";"8";"1659"
"04_06_2024";"132";"132";"1";"7397"
"04_06_2024";"133";"133";"6";"3816"
"04_06_2024";"134";"134";"6";"4982"
"04_06_2024";"135";"135";"9";"9478"
"04_06_2024";"136";"136";"10";"3229"
"04_06_2024";"137";"137";"5";"943"
"04_06_2024";"138";"138";"9";"4381"
"04_06_2024";"139";"139";"8";"7333"
"04_06_2024";"140";"140";"1";"6504"
"04_06_2024";"141";"141";"4";"2564"
"04_06_2024";"142";"142";"1";"3379"
"04_06_2024";"143";"143";"2";"1725"
"04_06_2024";"144";"144";"5";"4461"
"04_06_2024";"145";"145";"0";"6613"
"04_06_2024";"146";"146";"6";"9325"
"04_06_2024";"147";"147";"1";"6725"
"04_06_2024";"148";"148";"6";"9272"
"04_06_2024";"149";"149";"0";"1979"
"04_06_2024";"150";"150";"7";"3965"
"04_06_2024";"151";"151";"4";"6911"
"04_06_2024";"152";"152";"5";"7357"
