"name";"price";"manafacture_ID"
"1";"564";"1"
"2";"1539";"2"
"3";"1561";"3"
"4";"1804";"4"
"5";"1818";"5"
"6";"1034";"6"
"7";"381";"7"
"8";"43";"8"
"9";"1537";"9"
"10";"833";"10"
"11";"940";"11"
"12";"1961";"12"
"13";"125";"13"
"14";"667";"14"
"15";"581";"15"
"16";"130";"16"
"17";"1712";"17"
"18";"1184";"18"
"19";"1270";"19"
"20";"379";"20"
"21";"833";"21"
"22";"1820";"22"
"23";"866";"23"
"24";"156";"24"
"25";"1146";"25"
"26";"14";"26"
"27";"884";"27"
"28";"330";"28"
"29";"1174";"29"
"30";"721";"30"
"31";"1646";"31"
"32";"707";"32"
"33";"1527";"33"
"34";"365";"34"
"35";"610";"35"
"36";"324";"36"
"37";"237";"37"
"38";"402";"38"
"39";"109";"39"
"40";"915";"40"
"41";"102";"41"
"42";"811";"42"
"43";"1786";"43"
"44";"861";"44"
"45";"1130";"45"
"46";"1614";"46"
"47";"1269";"47"
"48";"1906";"48"
"49";"1242";"49"
"50";"9";"50"
"51";"567";"51"
"52";"1198";"52"
"53";"667";"53"
"54";"585";"54"
"55";"1447";"55"
"56";"153";"56"
"57";"901";"57"
"58";"1340";"58"
"59";"629";"59"
"60";"434";"60"
"61";"1511";"61"
"62";"261";"62"
"63";"373";"63"
"64";"1897";"64"
"65";"1986";"65"
"66";"1996";"66"
"67";"926";"67"
"68";"672";"68"
"69";"1165";"69"
"70";"1717";"70"
"71";"1067";"71"
"72";"1050";"72"
"73";"802";"73"
"74";"764";"74"
"75";"389";"75"
"76";"1434";"76"
"77";"1183";"77"
"78";"1736";"78"
"79";"326";"79"
"80";"1678";"80"
"81";"1694";"81"
"82";"1713";"82"
"83";"255";"83"
"84";"1158";"84"
"85";"769";"85"
"86";"1448";"86"
"87";"18";"87"
"88";"1748";"88"
"89";"639";"89"
"90";"1579";"90"
"91";"923";"91"
"92";"1404";"92"
"93";"1410";"93"
"94";"1122";"94"
"95";"627";"95"
"96";"1377";"96"
"97";"189";"97"
"98";"1601";"98"
"99";"1115";"99"
"100";"369";"100"
"101";"1972";"101"
"102";"916";"102"
"103";"531";"103"
"104";"296";"104"
"105";"1591";"105"
"106";"1755";"106"
"107";"1187";"107"
"108";"292";"108"
"109";"371";"109"
"110";"341";"110"
"111";"956";"111"
"112";"1696";"112"
"113";"1293";"113"
"114";"1292";"114"
"115";"65";"115"
"116";"1069";"116"
"117";"1212";"117"
"118";"373";"118"
"119";"1994";"119"
"120";"1639";"120"
"121";"1342";"121"
"122";"665";"122"
"123";"1825";"123"
"124";"771";"124"
"125";"1545";"125"
"126";"392";"126"
"127";"298";"127"
"128";"1426";"128"
"129";"1463";"129"
"130";"127";"130"
"131";"178";"131"
"132";"1757";"132"
"133";"1367";"133"
"134";"1841";"134"
"135";"911";"135"
"136";"586";"136"
"137";"1334";"137"
"138";"1467";"138"
"139";"1017";"139"
"140";"650";"140"
"141";"338";"141"
"142";"331";"142"
"143";"997";"143"
"144";"1558";"144"
"145";"1592";"145"
"146";"7";"146"
"147";"726";"147"
"148";"1881";"148"
"149";"1190";"149"
"150";"947";"150"
"151";"1345";"151"
"152";"851";"152"
"153";"1007";"153"
"154";"844";"154"
"155";"1037";"155"
"156";"875";"156"
"157";"1020";"157"
"158";"611";"158"
"159";"311";"159"
"160";"1759";"160"
"161";"1478";"161"
"162";"1128";"162"
"163";"33";"163"
"164";"559";"164"
"165";"1367";"165"
"166";"518";"166"
"167";"1737";"167"
"168";"1934";"168"
"169";"708";"169"
"170";"852";"170"
"171";"1247";"171"
"172";"407";"172"
"173";"736";"173"
"174";"1161";"174"
"175";"1760";"175"
"176";"301";"176"
"177";"1199";"177"
"178";"1766";"178"
"179";"1802";"179"
"180";"747";"180"
"181";"853";"181"
"182";"28";"182"
"183";"1239";"183"
"184";"1418";"184"
"185";"1404";"185"
"186";"1141";"186"
"187";"165";"187"
"188";"1806";"188"
"189";"1574";"189"
"190";"150";"190"
"191";"1812";"191"
"192";"977";"192"
"193";"3";"193"
"194";"300";"194"
"195";"950";"195"
"196";"458";"196"
"197";"473";"197"
"198";"1973";"198"
"199";"558";"199"
"200";"683";"200"
"201";"1556";"201"
"202";"959";"202"
"203";"58";"203"
"204";"1592";"204"
"205";"1351";"205"
"206";"156";"206"
"207";"1056";"207"
"208";"1982";"208"
"209";"1701";"209"
"210";"1425";"210"
"211";"590";"211"
"212";"263";"212"
"213";"352";"213"
"214";"224";"214"
"215";"1030";"215"
"216";"1712";"216"
"217";"896";"217"
"218";"1654";"218"
"219";"14";"219"
"220";"1092";"220"
"221";"1591";"221"
"222";"1264";"222"
"223";"312";"223"
"224";"949";"224"
"225";"523";"225"
"226";"1033";"226"
"227";"1863";"227"
"228";"1469";"228"
"229";"1068";"229"
"230";"1417";"230"
"231";"707";"231"
"232";"1835";"232"
"233";"1312";"233"
"234";"1188";"234"
"235";"157";"235"
"236";"1068";"236"
"237";"397";"237"
"238";"1318";"238"
"239";"1659";"239"
"240";"839";"240"
"241";"625";"241"
"242";"1444";"242"
"243";"1934";"243"
"244";"1083";"244"
"245";"1543";"245"
"246";"1633";"246"
"247";"1559";"247"
"248";"1972";"248"
"249";"786";"249"
"250";"489";"250"
"251";"1550";"251"
"252";"1483";"252"
"253";"586";"253"
"254";"590";"254"
"255";"399";"255"
"256";"95";"256"
"257";"908";"257"
"258";"503";"258"
"259";"1464";"259"
"260";"1701";"260"
"261";"77";"261"
"262";"1353";"262"
"263";"194";"263"
"264";"382";"264"
"265";"797";"265"
"266";"377";"266"
"267";"621";"267"
"268";"749";"268"
"269";"824";"269"
"270";"1890";"270"
"271";"1028";"271"
"272";"970";"272"
"273";"122";"273"
"274";"538";"274"
"275";"1807";"275"
"276";"621";"276"
"277";"1536";"277"
"278";"1925";"278"
"279";"1376";"279"
"280";"517";"280"
"281";"1913";"281"
"282";"1094";"282"
"283";"547";"283"
"284";"365";"284"
"285";"501";"285"
"286";"1307";"286"
"287";"1346";"287"
"288";"1340";"288"
"289";"180";"289"
"290";"1024";"290"
"291";"414";"291"
"292";"1837";"292"
"293";"1098";"293"
"294";"4";"294"
"295";"361";"295"
"296";"1184";"296"
"297";"46";"297"
"298";"14";"298"
"299";"223";"299"
"300";"1463";"300"
"301";"1231";"301"
"302";"1458";"302"
"303";"1250";"303"
"304";"741";"304"
"305";"840";"305"
"306";"565";"306"
"307";"1184";"307"
"308";"713";"308"
"309";"944";"309"
"310";"1737";"310"
"311";"1454";"311"
"312";"1246";"312"
"313";"1727";"313"
"314";"1218";"314"
"315";"890";"315"
"316";"1648";"316"
"317";"957";"317"
"318";"952";"318"
"319";"1053";"319"
"320";"1938";"320"
"321";"722";"321"
"322";"1285";"322"
"323";"135";"323"
"324";"1963";"324"
"325";"780";"325"
"326";"1795";"326"
"327";"1858";"327"
"328";"265";"328"
"329";"1296";"329"
"330";"1973";"330"
"331";"1231";"331"
"332";"23";"332"
"333";"1294";"333"
"334";"1151";"334"
"335";"907";"335"
"336";"1958";"336"
"337";"817";"337"
"338";"379";"338"
"339";"1794";"339"
"340";"97";"340"
"341";"1899";"341"
"342";"1624";"342"
"343";"1308";"343"
"344";"1853";"344"
"345";"1922";"345"
"346";"317";"346"
"347";"145";"347"
"348";"868";"348"
"349";"1266";"349"
"350";"549";"350"
"351";"1662";"351"
"352";"697";"352"
"353";"503";"353"
"354";"1155";"354"
"355";"1913";"355"
"356";"1479";"356"
"357";"57";"357"
"358";"96";"358"
"359";"484";"359"
"360";"1879";"360"
"361";"1380";"361"
"362";"388";"362"
"363";"1109";"363"
"364";"446";"364"
"365";"1157";"365"
"366";"1263";"366"
"367";"1624";"367"
"368";"1074";"368"
"369";"67";"369"
"370";"640";"370"
"371";"1264";"371"
"372";"1843";"372"
"373";"1553";"373"
"374";"185";"374"
"375";"1737";"375"
"376";"305";"376"
"377";"103";"377"
"378";"732";"378"
"379";"1343";"379"
"380";"982";"380"
"381";"951";"381"
"382";"1817";"382"
"383";"231";"383"
"384";"1664";"384"
"385";"1856";"385"
"386";"1386";"386"
"387";"450";"387"
"388";"601";"388"
"389";"1113";"389"
"390";"885";"390"
"391";"147";"391"
"392";"949";"392"
"393";"1986";"393"
"394";"286";"394"
"395";"50";"395"
"396";"334";"396"
"397";"258";"397"
"398";"304";"398"
"399";"1241";"399"
"400";"1279";"400"
"401";"782";"401"
"402";"426";"402"
"403";"917";"403"
"404";"1048";"404"
"405";"981";"405"
"406";"1772";"406"
"407";"1864";"407"
"408";"1380";"408"
"409";"1057";"409"
"410";"1623";"410"
"411";"1267";"411"
"412";"1728";"412"
"413";"832";"413"
"414";"879";"414"
"415";"379";"415"
"416";"252";"416"
"417";"1921";"417"
"418";"758";"418"
"419";"1823";"419"
"420";"1268";"420"
"421";"629";"421"
"422";"336";"422"
"423";"669";"423"
"424";"894";"424"
"425";"993";"425"
"426";"1108";"426"
"427";"1896";"427"
"428";"1694";"428"
"429";"1045";"429"
"430";"1877";"430"
"431";"659";"431"
"432";"592";"432"
"433";"582";"433"
"434";"743";"434"
"435";"1018";"435"
"436";"950";"436"
"437";"1971";"437"
"438";"736";"438"
"439";"1323";"439"
"440";"1939";"440"
"441";"543";"441"
"442";"500";"442"
"443";"675";"443"
"444";"1562";"444"
"445";"1551";"445"
"446";"1040";"446"
"447";"1448";"447"
"448";"664";"448"
"449";"1696";"449"
"450";"1237";"450"
"451";"266";"451"
"452";"1227";"452"
"453";"201";"453"
"454";"1648";"454"
"455";"152";"455"
"456";"295";"456"
"457";"1114";"457"
"458";"1504";"458"
"459";"876";"459"
"460";"625";"460"
"461";"1138";"461"
"462";"65";"462"
"463";"637";"463"
"464";"1879";"464"
"465";"103";"465"
"466";"650";"466"
"467";"1524";"467"
"468";"1265";"468"
"469";"33";"469"
"470";"1992";"470"
"471";"1412";"471"
"472";"142";"472"
"473";"243";"473"
"474";"1538";"474"
"475";"947";"475"
"476";"1231";"476"
"477";"1319";"477"
"478";"662";"478"
"479";"1744";"479"
"480";"1868";"480"
"481";"1370";"481"
"482";"1385";"482"
"483";"1246";"483"
"484";"1947";"484"
"485";"625";"485"
"486";"1554";"486"
"487";"1888";"487"
"488";"611";"488"
"489";"1436";"489"
"490";"128";"490"
"491";"802";"491"
"492";"1638";"492"
"493";"182";"493"
"494";"1823";"494"
"495";"1263";"495"
"496";"847";"496"
"497";"1011";"497"
"498";"371";"498"
"499";"101";"499"
"500";"83";"500"
"501";"603";"501"
"502";"1103";"502"
"503";"1185";"503"
"504";"1092";"504"
"505";"146";"505"
"506";"742";"506"
"507";"1102";"507"
"508";"196";"508"
"509";"1284";"509"
"510";"686";"510"
"511";"256";"511"
"512";"1973";"512"
"513";"179";"513"
"514";"1128";"514"
"515";"782";"515"
"516";"1321";"516"
"517";"700";"517"
"518";"1021";"518"
"519";"1501";"519"
"520";"1733";"520"
"521";"1918";"521"
"522";"1544";"522"
"523";"401";"523"
"524";"1408";"524"
"525";"1456";"525"
"526";"847";"526"
"527";"1309";"527"
"528";"1985";"528"
"529";"1264";"529"
"530";"826";"530"
"531";"1264";"531"
"532";"910";"532"
"533";"1656";"533"
"534";"1890";"534"
"535";"724";"535"
"536";"851";"536"
"537";"394";"537"
"538";"1939";"538"
"539";"1524";"539"
"540";"1795";"540"
"541";"444";"541"
"542";"825";"542"
"543";"645";"543"
"544";"835";"544"
"545";"1049";"545"
"546";"1670";"546"
"547";"1827";"547"
"548";"1384";"548"
"549";"659";"549"
"550";"468";"550"
"551";"859";"551"
"552";"1546";"552"
"553";"1193";"553"
"554";"1734";"554"
"555";"1280";"555"
"556";"704";"556"
"557";"1116";"557"
"558";"294";"558"
"559";"1231";"559"
"560";"984";"560"
"561";"20";"561"
"562";"1021";"562"
"563";"759";"563"
"564";"1359";"564"
"565";"1216";"565"
"566";"185";"566"
"567";"1326";"567"
"568";"1933";"568"
"569";"739";"569"
"570";"331";"570"
"571";"566";"571"
"572";"1634";"572"
"573";"546";"573"
"574";"1005";"574"
"575";"1290";"575"
"576";"229";"576"
"577";"658";"577"
"578";"631";"578"
"579";"352";"579"
"580";"1019";"580"
"581";"1329";"581"
"582";"1660";"582"
"583";"1144";"583"
"584";"959";"584"
"585";"788";"585"
"586";"234";"586"
"587";"1018";"587"
"588";"907";"588"
"589";"795";"589"
"590";"1660";"590"
"591";"1013";"591"
"592";"605";"592"
"593";"125";"593"
"594";"1395";"594"
"595";"1320";"595"
"596";"1465";"596"
"597";"1035";"597"
"598";"888";"598"
"599";"244";"599"
"600";"928";"600"
"601";"937";"601"
"602";"723";"602"
"603";"1976";"603"
"604";"455";"604"
"605";"445";"605"
"606";"1763";"606"
"607";"1585";"607"
"608";"1515";"608"
"609";"392";"609"
"610";"186";"610"
"611";"416";"611"
"612";"1517";"612"
